# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.1

<none>.combo, long, 0000000000000001
<none>.combotimer, long, 0000000000000003
ah.itemsforsale::1, itemstack, 810576616C75652080CD76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323836300A2020747970653A2049524F4E5F53574F52440A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20277B226578747261223A5B7B2274657874223A224561727468204B6174616E61227D5D2C2274657874223A22227D270A2020202044616D6167653A2036320A
ah.itemsforsale::2, itemstack, 810576616C75652080B776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323836300A2020747970653A20535449434B0A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20277B226578747261223A5B7B2274657874223A2254696D65205374616666227D5D2C2274657874223A22227D270A
ah.price, long, 0001AE744AE912F6
ah.prices::1, long, 0001AF09124CC633
ah.prices::2, long, 00A8256D3FBE0ACE
ah.seller::1, offlineplayer, 810475756964800455554944820C6C65617374536967426974730494729F23F15F6DFF0B6D6F73745369674269747304BF7D4A283DC2496B
ah.seller::2, offlineplayer, 810475756964800455554944820C6C65617374536967426974730494729F23F15F6DFF0B6D6F73745369674269747304BF7D4A283DC2496B
bp.<none>.keys::1, long, 0000000000000000
bp.<none>.keys::2, long, 0000000000000000
bp.<none>.keys::3, long, 0000000000000000
bp.<none>.keys::4, long, 0000000000000000
bp.<none>.keys::5, long, 0000000000000000
bp.<none>.keys::6, long, 0000000000000000
bp.<none>.keys::7, long, 0000000000000000
bp.<none>.keys::8, long, 0000000000000000
coins.<none>.coins, long, 000002D15E46B33D
coins.shadowstar18.coins, long, 00000002539A591F
coins.wthdraw.coins, long, 00514DAD8005B910
commands.shadowstar18.coins, double, 0000000000000000
commands.wthdraw.coins, double, 0000000000000000
damage.<none>.combo, long, 0000000000000008
damage.<none>.combotimer, long, 0000000000000003
