# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.1

<none>.combo, long, 0000000000000001
<none>.combotimer, long, 0000000000000003
commands.shadowstar18.coins, double, 0000000000000000
commands.wthdraw.coins, double, 0000000000000000
entity:e8e502d2-d77e-42a5-9ff0-b97bcff5d52c.combo, long, 0000000000000001
entity:e8e502d2-d77e-42a5-9ff0-b97bcff5d52c.combotimer, long, 0000000000000003
frame, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D4461746187076973416C6961730F0105706C61696E0F00046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C756520802E76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A096974656D466C61677303000000000A6973416E797468696E670F0002696403000001A7086974656D466F726D0F0006616D6F756E7403FFFFFFFF046974656D000A676C6F62616C4D6574610005626C6F636B00
regions.shadowstar18.combo, long, 0000000000000000
regions.shadowstar18.combotimer, long, 0000000000000000
regions.shadowstar18.location, string, 800BC2A7325468652057696C64
regions.shadowstar18.pastlocation, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0625FC9E0C2A8630179094052DD63263F20E1017A09406B5A9A35C6AA9C05706974636808421B2F740379617708C32C5C18
regions.wthdraw.combo, long, 0000000000000000
regions.wthdraw.combotimer, long, 0000000000000000
regions.wthdraw.location, string, 8019C2A765C2A76C436865657365737465616B277320486F757365
regions.wthdraw.pastlocation, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C06076F81080686D017909405D034828432C2D017A09407138904CE5435D05706974636808425767380379617708C2BF103D
rightclick.shadowstar18.nodmg, string, 800566616C7365
rightclick.shadowstar18.truedamage, boolean, 00
rightclick.wthdraw.nodmg, string, 800566616C7365
shadowstar18.coins, long, 0000000000000000
shadowstar18.combo, long, 0000000000000000
shadowstar18.combotimer, long, 0000000000000000
shadowstar18.damage, long, 000000000000000A
shadowstar18.location, string, 800BC2A7325468652057696C64
shadowstar18.pastlocation, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094034C3BB5F7BB9FD01790940550F5B804484A8017A09C0586CFDA65867B60570697463680840F002C40379617708C260431E
sword.<none>.combo, long, 0000000000000014
sword.<none>.combotimer, long, 0000000000000003
sword.entity:0a6935d3-831d-4c47-86a8-8854d4e5639f.combo, long, 0000000000000001
sword.entity:0a6935d3-831d-4c47-86a8-8854d4e5639f.combotimer, long, 0000000000000003
sword.entity:17d18d43-1b96-4306-a0ba-c347c2049d9a.combo, long, 0000000000000001
sword.entity:17d18d43-1b96-4306-a0ba-c347c2049d9a.combotimer, long, 0000000000000003
sword.entity:1993686a-7925-4b09-927c-722aa2d9f700.combo, long, 0000000000000000
sword.entity:1993686a-7925-4b09-927c-722aa2d9f700.combotimer, long, 0000000000000003
sword.entity:1ac40eb7-209f-4229-827a-b8b079e0a957.combo, long, 0000000000000001
sword.entity:1ac40eb7-209f-4229-827a-b8b079e0a957.combotimer, long, 0000000000000003
sword.entity:1bd34fe1-29fe-445d-b677-2bfecaf47979.combo, long, 0000000000000000
sword.entity:1bd34fe1-29fe-445d-b677-2bfecaf47979.combotimer, long, 0000000000000003
sword.entity:241318a3-ba22-45e2-b047-a3aeac4233e6.combo, long, 0000000000000000
sword.entity:241318a3-ba22-45e2-b047-a3aeac4233e6.combotimer, long, 0000000000000003
sword.entity:294ba8c3-17d5-4c53-83b5-ac4561ba8e8d.combo, long, 0000000000000002
sword.entity:294ba8c3-17d5-4c53-83b5-ac4561ba8e8d.combotimer, long, 0000000000000003
sword.entity:2c84af41-5c9f-4747-a518-0c5c655c667d.combo, long, 0000000000000001
sword.entity:2c84af41-5c9f-4747-a518-0c5c655c667d.combotimer, long, 0000000000000003
sword.entity:3da0fa1d-57d9-4ee2-b051-e7282ccbb291.combo, long, 0000000000000000
sword.entity:3da0fa1d-57d9-4ee2-b051-e7282ccbb291.combotimer, long, 0000000000000003
sword.entity:3eecbace-c4d9-47ac-aa9d-c32e7dbbb596.combo, long, 0000000000000000
sword.entity:4066b246-916b-4bd0-87d8-12a6bfa78669.combo, long, 0000000000000001
sword.entity:4066b246-916b-4bd0-87d8-12a6bfa78669.combotimer, long, 0000000000000003
sword.entity:5c2e054b-2e62-433a-95aa-f96b55c2ecea.combo, long, 0000000000000000
sword.entity:5c2e054b-2e62-433a-95aa-f96b55c2ecea.combotimer, long, 0000000000000003
sword.entity:64c2f6bd-4437-4076-915d-e3622bb1d083.combo, long, 0000000000000006
sword.entity:64c2f6bd-4437-4076-915d-e3622bb1d083.combotimer, long, 0000000000000003
sword.entity:68a25590-c97c-415a-bfec-8d9ed76dc4d0.combo, long, 0000000000000001
